StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Informed Consent,Q1,Q2,Q3,Q4,Q4_7_TEXT,Q5,Q5_6_TEXT,Q6,Q6_1_TEXT,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13,Q14,Q15
2023-10-20 11:55:20,2023-10-20 11:57:04,IP Address,100,104,True,2023-10-20 11:57:05,R_881sIaUUVzCHzW1,anonymous,EN,,29,Master's student,White/Caucasian,Woman,,Mostly liberal,,Zip Code,02052,No,Tap water,Yes,Well,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,3,4,1,5,2,6,7,"A published report of what is in it ",Yes,13 or more glasses per day
2023-10-23 15:46:34,2023-10-23 15:50:36,IP Address,100,242,True,2023-10-23 15:50:37,R_06TrTdHoSjDHdW9,anonymous,EN,,26,Master's student,White/Caucasian,Man,,Consistently liberal,,Zip Code,02045,No,Tap water,Yes,Public Supply,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,4,3,1,5,2,6,7,Test kits,Yes,2-6 glasses per day
2023-10-24 13:59:28,2023-10-24 14:01:29,IP Address,100,120,True,2023-10-24 14:01:30,R_2Ea834ljXmeeopQ,anonymous,EN,,24,Master's student,White/Caucasian,Woman,,Mixed,,Zip Code,01960,No,Glass bottled/canned/boxed water,Yes,Public Supply,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1,5,3,2,4,6,7,,,2-6 glasses per day
2023-10-24 14:40:12,2023-10-24 15:05:38,IP Address,100,1525,True,2023-10-24 15:05:39,R_AvWimJ1NDUnXkT7,anonymous,EN,,26,Master's student,White/Caucasian,Man,,Consistently liberal,,Zip Code,02045,No,Tap water,Yes,Public Supply,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,4,5,1,3,2,6,7,test kits,Yes,2-6 glasses per day
2023-10-26 13:07:54,2023-10-26 13:08:03,Survey Preview,100,8,True,2023-10-26 13:08:04,R_21EZhyuAcQFYsTR,preview,EN,"No, I don't want to participate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-24 15:03:04,2023-10-24 19:08:25,IP Address,7,14721,False,2023-10-31 19:08:32,R_10MkY7yfwvuhgXF,anonymous,EN,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-01 08:59:48,2023-11-01 09:10:19,IP Address,100,631,True,2023-11-01 09:10:20,R_2fCYp1I0nBr7w0E,anonymous,EN,"Yes, I want to participate",18,Freshman student,Asian,Man,,Mixed,,Prefer not to answer,,No,Tap water,Yes,Public Supply,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,2,3,1,5,6,7,4,,Yes,Less than 2 glasses per day
2023-11-01 09:07:46,2023-11-01 09:10:40,IP Address,100,173,True,2023-11-01 09:10:41,R_3OjhCc4vEc9tHfw,anonymous,EN,"Yes, I want to participate",18,Freshman student,Black or African American,Man,,Mixed,,Prefer not to answer,,No,Plastic bottled water,Yes,Public Supply,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,6,2,1,3,5,7,4,National clean water,,2-6 glasses per day
2023-11-01 09:10:28,2023-11-01 09:12:03,IP Address,100,95,True,2023-11-01 09:12:04,R_1E0E7vgXZIChVIn,anonymous,EN,"Yes, I want to participate",20,Junior student,White/Caucasian,Man,,Consistently liberal,,Zip Code,02128,No,Tap water,Yes,Public Supply,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,4,2,5,6,3,1,7,Nothin I’m fine with it,Yes,2-6 glasses per day
2023-11-01 09:10:46,2023-11-01 09:12:56,IP Address,100,130,True,2023-11-01 09:12:57,R_1GOeHMsunTBjHbV,anonymous,EN,"Yes, I want to participate",19,Freshman student,Asian,Non-binary,,Mixed,,Prefer not to answer,,,Tap water,Yes,Public Supply,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,,,,,,Yes,2-6 glasses per day
2023-11-01 09:12:08,2023-11-01 09:15:29,IP Address,100,200,True,2023-11-01 09:15:29,R_28OgrrrxVrKbh3w,anonymous,EN,"Yes, I want to participate",18,Freshman student,Hispanic or Latino,Woman,,Mostly liberal,,Zip Code,02302,,Tap water,No,Public Supply,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,3,2,5,1,6,4,7,"Filter ",,7-12 glasses per
2023-11-01 09:13:06,2023-11-01 09:15:52,IP Address,100,165,True,2023-11-01 09:15:52,R_1OQfDGD7jVu75L2,anonymous,EN,"Yes, I want to participate",18,Sophomore student,Asian,Prefer not to answer,,Consistently conservative,,Prefer not to answer,,No,Tap water,No,Well,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,,,,,,,,home,Yes,2-6 glasses per day
2023-11-01 09:15:36,2023-11-01 09:17:37,IP Address,100,121,True,2023-11-01 09:17:38,R_YRnlQjgKmzC8mZz,anonymous,EN,"Yes, I want to participate",19,Sophomore student,White/Caucasian,Man,,Prefer not to answer,,Prefer not to answer,,Yes,Glass bottled/canned/boxed water,Yes,Public Supply,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,4,5,3,7,6,1,2,If they actually purified the water properly,,2-6 glasses per day
2023-11-01 09:16:15,2023-11-01 09:19:25,IP Address,100,190,True,2023-11-01 09:19:25,R_3dXR6mGW7pc0UmM,anonymous,EN,"Yes, I want to participate",26,Senior student,White/Caucasian,Man,,Mostly liberal,,Zip Code,02054,No,Plastic bottled water,No,Public Supply,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,3,1,2,6,4,5,7,more government update and testing clarity,,2-6 glasses per day
2023-11-01 09:17:43,2023-11-01 09:20:31,IP Address,100,167,True,2023-11-01 09:20:31,R_2AHcdr2DDd6J1KR,anonymous,EN,"Yes, I want to participate",18,Freshman student,Black or African American,Woman,,Consistently liberal,,Zip Code,02445,No,Plastic bottled water,Yes,,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,1,2,3,7,5,4,6,Knowing where it comes from and what’s in it,,2-6 glasses per day
2023-11-01 09:19:42,2023-11-01 09:22:08,IP Address,100,146,True,2023-11-01 09:22:09,R_A1DjaZQJDiT1qff,anonymous,EN,"Yes, I want to participate",19,Freshman student,Hispanic or Latino,Woman,,Mostly liberal,,Prefer not to answer,,No,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,,,,,,,,"Having a filter on the tap ",Yes,7-12 glasses per
2023-11-01 09:20:37,2023-11-01 09:22:41,IP Address,100,124,True,2023-11-01 09:22:43,R_7O6gY4iUZrSzGff,anonymous,EN,"Yes, I want to participate",18,Freshman student,White/Caucasian,Man,,Consistently liberal,,Zip Code,02125,,Tap water,No,Public Supply,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,3,6,4,1,5,2,7,Maybe if I owned a filter,No,2-6 glasses per day
2023-11-01 09:24:40,2023-11-01 09:28:15,IP Address,100,214,True,2023-11-01 09:28:16,R_RRL2q8MH10ii1d7,qr,EN,"Yes, I want to participate",18,Freshman student,Hispanic or Latino,Woman,,Mixed,,Zip Code,02169,,Plastic bottled water,Yes,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,4,5,2,3,6,1,7,"Having a water filter in the tap ",,2-6 glasses per day
2023-11-01 09:26:26,2023-11-01 09:28:26,IP Address,100,119,True,2023-11-01 09:28:27,R_3iX3gK1WvXLzPyo,qr,EN,"Yes, I want to participate",20,Junior student,Asian,Woman,,Consistently liberal,,Zip Code,02130,No,Tap water,Yes,,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,1,2,3,7,6,5,4,Appearing clear,Yes,2-6 glasses per day
2023-11-01 09:26:24,2023-11-01 09:29:24,IP Address,100,179,True,2023-11-01 09:29:25,R_Y0uCPjvdJlFXJcd,qr,EN,"Yes, I want to participate",19,Sophomore student,Asian,Woman,,Mostly liberal,,Zip Code,02122,Yes,Plastic bottled water,No,Public Supply,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,1,2,5,3,6,4,7,"easy access to water tests ",,2-6 glasses per day
2023-11-01 09:24:45,2023-11-01 09:29:27,IP Address,100,282,True,2023-11-01 09:29:28,R_1gtMkMYkBbN0wsV,qr,EN,"Yes, I want to participate",18,Freshman student,White/Caucasian,Woman,,Consistently liberal,,,,,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,3,1,4,6,5,2,7,"If people regularly used it in my area ",Yes,Less than 2 glasses per day
2023-11-01 09:25:21,2023-11-01 09:30:15,IP Address,100,294,True,2023-11-01 09:30:15,R_3jdilPiSWhbGzAP,qr,EN,"Yes, I want to participate",19,Sophomore student,Black or African American,Woman,,Mostly liberal,,Zip Code,02124,,Plastic bottled water,Yes,Public Supply,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,1,6,2,3,4,5,7,"Nothing I don’t like taste of tap water ",,2-6 glasses per day
2023-11-01 09:25:25,2023-11-01 09:31:11,IP Address,100,345,True,2023-11-01 09:31:12,R_6GnAdCWbqvaGqQh,qr,EN,"Yes, I want to participate",26,Senior student,Hispanic or Latino,Woman,,Mostly liberal,,Zip Code,02169,No,Glass bottled/canned/boxed water,No,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,5,7,4,6,3,1,2,"If I knew where it’s sourced from ",,Less than 2 glasses per day
2023-11-01 09:26:46,2023-11-01 09:32:34,IP Address,100,347,True,2023-11-01 09:32:35,R_3NUioSnsUjLW1qD,qr,EN,"Yes, I want to participate",29,Freshman student,White/Caucasian,Woman,,Mixed,,Zip Code,02769,Yes,Plastic bottled water,No,Well,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,13 or more glasses per day
2023-11-01 10:32:57,2023-11-01 10:36:31,IP Address,100,213,True,2023-11-01 10:36:31,R_2DM3vQ7Upu765yn,qr,EN,"Yes, I want to participate",29,PhD student,Prefer not to answer,Man,,Mostly liberal,,Prefer not to answer,,Yes,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,5,2,1,4,6,7,3,More information about the water,No,7-12 glasses per
2023-11-01 10:55:25,2023-11-01 10:57:48,IP Address,100,142,True,2023-11-01 10:57:49,R_REnaWxIYQqgvF4t,qr,EN,"Yes, I want to participate",26,Junior student,Asian,Gender not listed. My gender is,Male,Mixed,,Zip Code,02124,Yes,Glass bottled/canned/boxed water,Yes,Well,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,,,,,,,,idk,,2-6 glasses per day
2023-11-01 10:56:02,2023-11-01 10:58:11,IP Address,100,128,True,2023-11-01 10:58:11,R_aXATxS5BKpFM0eJ,qr,EN,"Yes, I want to participate",19,Freshman student,"Black or African American,White/Caucasian",Woman,,Prefer not to answer,,Zip Code,252125,Yes,Tap water,No,Well,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,7,2,1,3,6,4,5,Nothing all I know is don’t drink worcester water,No,Less than 2 glasses per day
2023-11-01 10:55:20,2023-11-01 10:58:29,IP Address,100,188,True,2023-11-01 10:58:30,R_3HBIAlYuw8vWAmY,qr,EN,"Yes, I want to participate",26,Senior student,American Indian or Alaska Native,,,Mostly liberal,,Prefer not to answer,,No,Tap water,Yes,,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,2,7,5,4,1,3,6,N/A,Yes,2-6 glasses per day
2023-11-01 10:56:06,2023-11-01 10:58:40,IP Address,100,154,True,2023-11-01 10:58:41,R_217n7NHNKPA4DqA,qr,EN,"Yes, I want to participate",18,Freshman student,"White/Caucasian,Hispanic or Latino",Woman,,Mixed,,Zip Code,02125,No,Plastic bottled water,Yes,,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,1,2,5,4,6,3,7,"Knowing more about the filtration system ",,2-6 glasses per day
2023-11-01 10:57:22,2023-11-01 10:59:23,IP Address,100,121,True,2023-11-01 10:59:24,R_ypwFRVvpYHCfm0x,qr,EN,"Yes, I want to participate",22,Sophomore student,Asian,Woman,,Mixed,,Zip Code,02368,No,Plastic bottled water,No,Well,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,,,,,,,,,,2-6 glasses per day
2023-11-01 10:56:51,2023-11-01 10:59:41,IP Address,100,170,True,2023-11-01 10:59:41,R_1erCKyJSJjJgY1A,qr,EN,"Yes, I want to participate",22,Sophomore student,White/Caucasian,Woman,,Consistently conservative,,Zip Code,02180,No,Plastic bottled water,Yes,Public Supply,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,6,5,1,2,7,4,3,,,7-12 glasses per
2023-11-01 10:57:23,2023-11-01 11:02:02,IP Address,100,278,True,2023-11-01 11:02:02,R_1rf6berAHeA7Rmg,qr,EN,"Yes, I want to participate",20,Junior student,Hispanic or Latino,Woman,,Prefer not to answer,,Zip Code,02119,No,Plastic bottled water,No,,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,2,1,5,6,7,4,3,,,2-6 glasses per day
2023-11-01 11:00:43,2023-11-01 11:02:35,IP Address,100,112,True,2023-11-01 11:02:36,R_231OAPAFdvGgfyX,qr,EN,"Yes, I want to participate",18,Senior student,White/Caucasian,Man,,Mostly liberal,,Prefer not to answer,,No,Tap water,No,Public Supply,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,,,,,,,No,2-6 glasses per day
2023-11-01 10:59:36,2023-11-01 11:02:43,IP Address,100,187,True,2023-11-01 11:02:44,R_3hrK3l5SBGhBhMN,qr,EN,"Yes, I want to participate",23,Senior student,Asian,Woman,,Mostly liberal,,Prefer not to answer,,,Tap water,Yes,Public Supply,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,3,5,2,6,4,7,1,"Water filter ",Yes,Less than 2 glasses per day
2023-11-01 11:01:59,2023-11-01 11:03:12,IP Address,100,72,True,2023-11-01 11:03:12,R_vuIfoZtKczbSxi1,qr,EN,"Yes, I want to participate",19,Freshman student,Prefer not to answer,Woman,,Prefer not to answer,,Prefer not to answer,,No,I don't drink water,,,,,,,,,,,,,,,,,
2023-11-01 11:00:43,2023-11-01 11:03:17,IP Address,100,153,True,2023-11-01 11:03:18,R_3MsxQ1CTfUmvjCf,qr,EN,"Yes, I want to participate",24,Master's student,White/Caucasian,Man,,Mostly liberal,,Prefer not to answer,,,Glass bottled/canned/boxed water,Yes,Public Supply,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,,,,,,,,"If the water is filtered at home or properly sealed and comes from a trusted place. ",,2-6 glasses per day
2023-11-01 10:59:38,2023-11-01 11:03:23,IP Address,100,224,True,2023-11-01 11:03:23,R_1Q3iY8NM3n9nYD4,qr,EN,"Yes, I want to participate",32,Senior student,Asian,Gender not listed. My gender is,"Female ",Consistently conservative,,Zip Code,02170,No,Tap water,Yes,Well,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,Yes,7-12 glasses per
2023-11-01 11:01:50,2023-11-01 11:05:03,IP Address,100,192,True,2023-11-01 11:05:03,R_1rdDkulbTV09Nda,qr,EN,"Yes, I want to participate",20,Junior student,White/Caucasian,Man,,Other,,Zip Code,02125,,Tap water,Yes,Public Supply,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,,,,,"A filter, which I use!",Yes,2-6 glasses per day
2023-11-01 11:02:02,2023-11-01 11:05:48,IP Address,100,225,True,2023-11-01 11:05:49,R_3NU5DMCOYjhCDy0,qr,EN,"Yes, I want to participate",20,Junior student,Asian,Woman,,Prefer not to answer,,Zip Code,02446,No,Plastic bottled water,Prefer not to answer,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2,7,1,5,6,4,3,"I feel like i have a emotional connection to how tap water is gross because you never know what the filtered water has even if people who control the water supply know ",,2-6 glasses per day
2023-11-01 11:02:06,2023-11-01 11:06:18,IP Address,100,251,True,2023-11-01 11:06:18,R_30i7wdju8XTqhjW,qr,EN,"Yes, I want to participate",21,Sophomore student,Asian,Man,,Prefer not to answer,,Zip Code,01902,No,Plastic bottled water,Yes,Public Supply,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,13 or more glasses per day
2023-11-01 11:04:56,2023-11-01 11:11:02,IP Address,100,366,True,2023-11-01 11:11:03,R_qLe2oEIInN3cRGh,qr,EN,"Yes, I want to participate",19,Junior student,Hispanic or Latino,Woman,,Mostly conservative,,Zip Code,02125,Yes,Tap water,Yes,Public Supply,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,3,4,2,5,6,7,1,"The taste and source ",Yes,2-6 glasses per day
2023-11-01 11:08:00,2023-11-01 11:12:30,IP Address,100,269,True,2023-11-01 11:12:30,R_2WA7OSFieTj9DG0,qr,EN,"Yes, I want to participate",24,Prefer not to answer,"White/Caucasian,Hispanic or Latino",Man,,Mostly liberal,,Zip Code,01890,No,Tap water,No,Public Supply,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,6,4,1,3,5,2,7,,Yes,2-6 glasses per day
2023-11-01 11:13:57,2023-11-01 11:18:00,IP Address,100,243,True,2023-11-01 11:18:01,R_2OHGCpLkrR5ippM,qr,EN,"Yes, I want to participate",21,Senior student,Hispanic or Latino,Woman,,Prefer not to answer,,Zip Code,02124,Yes,Plastic bottled water,No,Well,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,4,1,3,2,5,6,7,Better cleaning service,,Less than 2 glasses per day
2023-11-01 11:14:51,2023-11-01 11:19:15,IP Address,100,263,True,2023-11-01 11:19:15,R_3O6yjx8p2bCgePB,qr,EN,"Yes, I want to participate",18,Freshman student,White/Caucasian,Man,,Consistently liberal,,Zip Code,02125,No,Plastic bottled water,Yes,,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,1,2,3,7,4,6,5,Knowing where my water comes from.,,2-6 glasses per day
2023-11-01 11:16:00,2023-11-01 11:19:30,IP Address,100,210,True,2023-11-01 11:19:31,R_3qTJbcFjSlLN87p,qr,EN,"Yes, I want to participate",18,Freshman student,White/Caucasian,Man,,Mixed,,Prefer not to answer,,Yes,Tap water,Yes,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,7,6,1,4,3,2,5,,Yes,7-12 glasses per
2023-11-01 11:14:34,2023-11-01 11:20:09,IP Address,100,334,True,2023-11-01 11:20:10,R_3kdnRP8QxJRNa8H,qr,EN,"Yes, I want to participate",18,Freshman student,"American Indian or Alaska Native,Black or African American,White/Caucasian",Woman,,Mostly liberal,,Prefer not to answer,,Yes,Plastic bottled water,No,Public Supply,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,5,7,1,2,4,3,6,"Verification of several and frequent water quality test from a (preferably federal) third party ",,Less than 2 glasses per day
2023-11-01 11:16:52,2023-11-01 11:22:52,IP Address,100,359,True,2023-11-01 11:22:53,R_UPZGqtPs5tzd9ZL,qr,EN,"Yes, I want to participate",21,Sophomore student,Black or African American,Woman,,Prefer not to answer,,Zip Code,02125,,Plastic bottled water,Yes,,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,2,1,3,5,6,4,7,A filter,,2-6 glasses per day
2023-11-01 11:21:38,2023-11-01 11:24:24,IP Address,100,165,True,2023-11-01 11:24:25,R_DIBXRSDTxjaqlkB,qr,EN,"Yes, I want to participate",18,Freshman student,Hispanic or Latino,Woman,,Mixed,,Zip Code,02149,Yes,Plastic bottled water,No,,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,1,6,2,4,5,7,3,"If it smelled like it was safe to drink ",,2-6 glasses per day
2023-11-01 11:22:16,2023-11-01 11:24:32,IP Address,100,136,True,2023-11-01 11:24:33,R_2tDtWVwZ7yDozyq,qr,EN,"Yes, I want to participate",19,Sophomore student,Hispanic or Latino,Man,,Mostly liberal,,Zip Code,02125,No,Plastic bottled water,Yes,Public Supply,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,1,7,2,4,3,5,6,,,7-12 glasses per
