StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Informed Consent,Age,SchoolYear,Race,Gender,GenderOther,PoliticalAffil,PoliticalOther,Q6,ZipCode,QualIssues,PrimarySource,WaterBottle,HomeSource,HomeTapSafe,CampusTapSafe,PlasticBottleSafe,GovtReliable,ChoiceOtherCommunity,RankTaste,RankAppearance,RankHealth,RankConvenience,RankEnvironment,RankCost,RankSource,OpenResponse1,FilterYesNo,DailyQuantity
11/1/2023 9:20,11/1/2023 9:22,IP Address,100,124,TRUE,11/1/2023 9:22,R_7O6gY4iUZrSzGff,anonymous,EN,"Yes, I want to participate",18,Freshman,White/Caucasian,Man,,Consistently liberal,,Zip Code,2125,,Tap water,No,Public Supply,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,3,6,4,1,5,2,7,Maybe if I owned a filter,No,2-6 glasses per day
11/1/2023 9:24,11/1/2023 9:28,IP Address,100,214,TRUE,11/1/2023 9:28,R_RRL2q8MH10ii1d7,qr,EN,"Yes, I want to participate",18,Freshman,Hispanic or Latino,Woman,,Mixed,,Zip Code,2169,,Plastic bottled water,Yes,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,4,5,2,3,6,1,7,Having a water filter in the tap ,,2-6 glasses per day
11/1/2023 9:26,11/1/2023 9:28,IP Address,100,119,TRUE,11/1/2023 9:28,R_3iX3gK1WvXLzPyo,qr,EN,"Yes, I want to participate",20,Junior,Asian,Woman,,Consistently liberal,,Zip Code,2130,No,Tap water,Yes,,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,1,2,3,7,6,5,4,Appearing clear,Yes,2-6 glasses per day
11/1/2023 9:26,11/1/2023 9:29,IP Address,100,179,TRUE,11/1/2023 9:29,R_Y0uCPjvdJlFXJcd,qr,EN,"Yes, I want to participate",19,Sophomore,Asian,Woman,,Mostly liberal,,Zip Code,2122,Yes,Plastic bottled water,No,Public Supply,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,1,2,5,3,6,4,7,easy access to water tests ,,2-6 glasses per day
11/1/2023 9:24,11/1/2023 9:29,IP Address,100,282,TRUE,11/1/2023 9:29,R_1gtMkMYkBbN0wsV,qr,EN,"Yes, I want to participate",18,Freshman,White/Caucasian,Woman,,Consistently liberal,,,,,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,3,1,4,6,5,2,7,If people regularly used it in my area ,Yes,Less than 2 glasses per day
11/1/2023 9:25,11/1/2023 9:30,IP Address,100,294,TRUE,11/1/2023 9:30,R_3jdilPiSWhbGzAP,qr,EN,"Yes, I want to participate",19,Sophomore,Black or African American,Woman,,Mostly liberal,,Zip Code,2124,,Plastic bottled water,Yes,Public Supply,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,1,6,2,3,4,5,7,Nothing I don’t like taste of tap water ,,2-6 glasses per day
11/1/2023 9:25,11/1/2023 9:31,IP Address,100,345,TRUE,11/1/2023 9:31,R_6GnAdCWbqvaGqQh,qr,EN,"Yes, I want to participate",26,Senior,Hispanic or Latino,Woman,,Mostly liberal,,Zip Code,2169,No,Glass bottled/canned/boxed water,No,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,5,7,4,6,3,1,2,If I knew where it’s sourced from ,,Less than 2 glasses per day
11/1/2023 9:26,11/1/2023 9:32,IP Address,100,347,TRUE,11/1/2023 9:32,R_3NUioSnsUjLW1qD,qr,EN,"Yes, I want to participate",29,Freshman,White/Caucasian,Woman,,Mixed,,Zip Code,2769,Yes,Plastic bottled water,No,Well,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,13 or more glasses per day
11/1/2023 10:32,11/1/2023 10:36,IP Address,100,213,TRUE,11/1/2023 10:36,R_2DM3vQ7Upu765yn,qr,EN,"Yes, I want to participate",29,PhD,Prefer not to answer,Man,,Mostly liberal,,Prefer not to answer,,Yes,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,5,2,1,4,6,7,3,More information about the water,No,7-12 glasses per
11/1/2023 10:55,11/1/2023 10:57,IP Address,100,142,TRUE,11/1/2023 10:57,R_REnaWxIYQqgvF4t,qr,EN,"Yes, I want to participate",26,Junior,Asian,Gender not listed. My gender is,Male,Mixed,,Zip Code,2124,Yes,Glass bottled/canned/boxed water,Yes,Well,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,,,,,,,,idk,,2-6 glasses per day
11/1/2023 10:56,11/1/2023 10:58,IP Address,100,128,TRUE,11/1/2023 10:58,R_aXATxS5BKpFM0eJ,qr,EN,"Yes, I want to participate",19,Freshman,"Black or African American,White/Caucasian",Woman,,Prefer not to answer,,Zip Code,252125,Yes,Tap water,No,Well,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,7,2,1,3,6,4,5,Nothing all I know is don’t drink worcester water,No,Less than 2 glasses per day
11/1/2023 10:55,11/1/2023 10:58,IP Address,100,188,TRUE,11/1/2023 10:58,R_3HBIAlYuw8vWAmY,qr,EN,"Yes, I want to participate",26,Senior,American Indian or Alaska Native,,,Mostly liberal,,Prefer not to answer,,No,Tap water,Yes,,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,2,7,5,4,1,3,6,N/A,Yes,2-6 glasses per day
11/1/2023 10:56,11/1/2023 10:58,IP Address,100,154,TRUE,11/1/2023 10:58,R_217n7NHNKPA4DqA,qr,EN,"Yes, I want to participate",18,Freshman,"White/Caucasian,Hispanic or Latino",Woman,,Mixed,,Zip Code,2125,No,Plastic bottled water,Yes,,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,1,2,5,4,6,3,7,Knowing more about the filtration system ,,2-6 glasses per day
11/1/2023 10:57,11/1/2023 10:59,IP Address,100,121,TRUE,11/1/2023 10:59,R_ypwFRVvpYHCfm0x,qr,EN,"Yes, I want to participate",22,Sophomore,Asian,Woman,,Mixed,,Zip Code,2368,No,Plastic bottled water,No,Well,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,,,,,,,,,,2-6 glasses per day
11/1/2023 10:56,11/1/2023 10:59,IP Address,100,170,TRUE,11/1/2023 10:59,R_1erCKyJSJjJgY1A,qr,EN,"Yes, I want to participate",22,Sophomore,White/Caucasian,Woman,,Consistently conservative,,Zip Code,2180,No,Plastic bottled water,Yes,Public Supply,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,6,5,1,2,7,4,3,,,7-12 glasses per
11/1/2023 10:57,11/1/2023 11:02,IP Address,100,278,TRUE,11/1/2023 11:02,R_1rf6berAHeA7Rmg,qr,EN,"Yes, I want to participate",20,Junior,Hispanic or Latino,Woman,,Prefer not to answer,,Zip Code,2119,No,Plastic bottled water,No,,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,2,1,5,6,7,4,3,,,2-6 glasses per day
11/1/2023 11:00,11/1/2023 11:02,IP Address,100,112,TRUE,11/1/2023 11:02,R_231OAPAFdvGgfyX,qr,EN,"Yes, I want to participate",18,Senior,White/Caucasian,Man,,Mostly liberal,,Prefer not to answer,,No,Tap water,No,Public Supply,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,,,,,,,No,2-6 glasses per day
11/1/2023 10:59,11/1/2023 11:02,IP Address,100,187,TRUE,11/1/2023 11:02,R_3hrK3l5SBGhBhMN,qr,EN,"Yes, I want to participate",23,Senior,Asian,Woman,,Mostly liberal,,Prefer not to answer,,,Tap water,Yes,Public Supply,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,3,5,2,6,4,7,1,Water filter ,Yes,Less than 2 glasses per day
11/1/2023 11:01,11/1/2023 11:03,IP Address,100,72,TRUE,11/1/2023 11:03,R_vuIfoZtKczbSxi1,qr,EN,"Yes, I want to participate",19,Freshman,Prefer not to answer,Woman,,Prefer not to answer,,Prefer not to answer,,No,I don't drink water,,,,,,,,,,,,,,,,,
11/1/2023 11:00,11/1/2023 11:03,IP Address,100,153,TRUE,11/1/2023 11:03,R_3MsxQ1CTfUmvjCf,qr,EN,"Yes, I want to participate",24,Master,White/Caucasian,Man,,Mostly liberal,,Prefer not to answer,,,Glass bottled/canned/boxed water,Yes,Public Supply,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,,,,,,,,If the water is filtered at home or properly sealed and comes from a trusted place. ,,2-6 glasses per day
11/1/2023 10:59,11/1/2023 11:03,IP Address,100,224,TRUE,11/1/2023 11:03,R_1Q3iY8NM3n9nYD4,qr,EN,"Yes, I want to participate",32,Senior,Asian,Gender not listed. My gender is,Female ,Consistently conservative,,Zip Code,2170,No,Tap water,Yes,Well,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,Yes,7-12 glasses per
11/1/2023 11:01,11/1/2023 11:05,IP Address,100,192,TRUE,11/1/2023 11:05,R_1rdDkulbTV09Nda,qr,EN,"Yes, I want to participate",20,Junior,White/Caucasian,Man,,Other,,Zip Code,2125,,Tap water,Yes,Public Supply,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,,,,,"A filter, which I use!",Yes,2-6 glasses per day
11/1/2023 11:02,11/1/2023 11:05,IP Address,100,225,TRUE,11/1/2023 11:05,R_3NU5DMCOYjhCDy0,qr,EN,"Yes, I want to participate",20,Junior,Asian,Woman,,Prefer not to answer,,Zip Code,2446,No,Plastic bottled water,Prefer not to answer,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2,7,1,5,6,4,3,I feel like i have a emotional connection to how tap water is gross because you never know what the filtered water has even if people who control the water supply know ,,2-6 glasses per day
11/1/2023 11:02,11/1/2023 11:06,IP Address,100,251,TRUE,11/1/2023 11:06,R_30i7wdju8XTqhjW,qr,EN,"Yes, I want to participate",21,Sophomore,Asian,Man,,Prefer not to answer,,Zip Code,1902,No,Plastic bottled water,Yes,Public Supply,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,13 or more glasses per day
11/1/2023 11:04,11/1/2023 11:11,IP Address,100,366,TRUE,11/1/2023 11:11,R_qLe2oEIInN3cRGh,qr,EN,"Yes, I want to participate",19,Junior,Hispanic or Latino,Woman,,Mostly conservative,,Zip Code,2125,Yes,Tap water,Yes,Public Supply,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,3,4,2,5,6,7,1,The taste and source ,Yes,2-6 glasses per day
11/1/2023 11:08,11/1/2023 11:12,IP Address,100,269,TRUE,11/1/2023 11:12,R_2WA7OSFieTj9DG0,qr,EN,"Yes, I want to participate",24,Prefer not to answer,"White/Caucasian,Hispanic or Latino",Man,,Mostly liberal,,Zip Code,1890,No,Tap water,No,Public Supply,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,6,4,1,3,5,2,7,,Yes,2-6 glasses per day
11/1/2023 11:13,11/1/2023 11:18,IP Address,100,243,TRUE,11/1/2023 11:18,R_2OHGCpLkrR5ippM,qr,EN,"Yes, I want to participate",21,Senior,Hispanic or Latino,Woman,,Prefer not to answer,,Zip Code,2124,Yes,Plastic bottled water,No,Well,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,4,1,3,2,5,6,7,Better cleaning service,,Less than 2 glasses per day
11/1/2023 11:14,11/1/2023 11:19,IP Address,100,263,TRUE,11/1/2023 11:19,R_3O6yjx8p2bCgePB,qr,EN,"Yes, I want to participate",18,Freshman,White/Caucasian,Man,,Consistently liberal,,Zip Code,2125,No,Plastic bottled water,Yes,,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,1,2,3,7,4,6,5,Knowing where my water comes from.,,2-6 glasses per day
11/1/2023 11:16,11/1/2023 11:19,IP Address,100,210,TRUE,11/1/2023 11:19,R_3qTJbcFjSlLN87p,qr,EN,"Yes, I want to participate",18,Freshman,White/Caucasian,Man,,Mixed,,Prefer not to answer,,Yes,Tap water,Yes,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,7,6,1,4,3,2,5,,Yes,7-12 glasses per
11/1/2023 11:14,11/1/2023 11:20,IP Address,100,334,TRUE,11/1/2023 11:20,R_3kdnRP8QxJRNa8H,qr,EN,"Yes, I want to participate",18,Freshman,"American Indian or Alaska Native,Black or African American,White/Caucasian",Woman,,Mostly liberal,,Prefer not to answer,,Yes,Plastic bottled water,No,Public Supply,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,5,7,1,2,4,3,6,Verification of several and frequent water quality test from a (preferably federal) third party ,,Less than 2 glasses per day
11/1/2023 11:16,11/1/2023 11:22,IP Address,100,359,TRUE,11/1/2023 11:22,R_UPZGqtPs5tzd9ZL,qr,EN,"Yes, I want to participate",21,Sophomore,Black or African American,Woman,,Prefer not to answer,,Zip Code,2125,,Plastic bottled water,Yes,,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,2,1,3,5,6,4,7,A filter,,2-6 glasses per day
11/1/2023 11:21,11/1/2023 11:24,IP Address,100,165,TRUE,11/1/2023 11:24,R_DIBXRSDTxjaqlkB,qr,EN,"Yes, I want to participate",18,Freshman,Hispanic or Latino,Woman,,Mixed,,Zip Code,2149,Yes,Plastic bottled water,No,,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,1,6,2,4,5,7,3,If it smelled like it was safe to drink ,,2-6 glasses per day
11/1/2023 11:22,11/1/2023 11:24,IP Address,100,136,TRUE,11/1/2023 11:24,R_2tDtWVwZ7yDozyq,qr,EN,"Yes, I want to participate",19,Sophomore,Hispanic or Latino,Man,,Mostly liberal,,Zip Code,2125,No,Plastic bottled water,Yes,Public Supply,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,1,7,2,4,3,5,6,,,7-12 glasses per
11/1/2023 11:23,11/1/2023 11:25,IP Address,100,114,TRUE,11/1/2023 11:25,R_Z2EiNzhyactnk8F,qr,EN,"Yes, I want to participate",18,Freshman,"Asian,Hispanic or Latino",Prefer not to answer,,Consistently liberal,,Zip Code,2125,Yes,Plastic bottled water,No,Public Supply,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,,,,,better taste/color,,2-6 glasses per day
11/1/2023 11:23,11/1/2023 11:26,IP Address,100,135,TRUE,11/1/2023 11:26,R_1OTDBdntPn9eUWd,qr,EN,"Yes, I want to participate",18,Freshman,Asian,Woman,,Consistently liberal,,Zip Code,2125,Yes,Plastic bottled water,Yes,Public Supply,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,,,,,,,,Knowing that it comes from a clean source ,,2-6 glasses per day
11/1/2023 11:23,11/1/2023 11:26,IP Address,100,167,TRUE,11/1/2023 11:26,R_22n2WsPp9TQdLyb,qr,EN,"Yes, I want to participate",18,Freshman,White/Caucasian,Non-binary,,Consistently liberal,,Zip Code,2125,Yes,Plastic bottled water,No,Public Supply,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,2,1,3,7,5,4,6,The look and smell.,,2-6 glasses per day
11/1/2023 11:24,11/1/2023 11:26,IP Address,100,168,TRUE,11/1/2023 11:26,R_3kyUZpDEtigrRux,qr,EN,"Yes, I want to participate",18,Freshman,White/Caucasian,Woman,,Consistently liberal,,,,Yes,Plastic bottled water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,4,3,6,1,7,2,5,If the government didn’t mess with it and just cleaned up a bit more ,,2-6 glasses per day
11/1/2023 11:24,11/1/2023 11:26,IP Address,100,150,TRUE,11/1/2023 11:26,R_wXXFC3lycvDqm1H,qr,EN,"Yes, I want to participate",22,Junior,White/Caucasian,Man,,Mostly liberal,,Prefer not to answer,,No,Plastic bottled water,Yes,,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,,,,,,,,,,2-6 glasses per day
11/1/2023 11:24,11/1/2023 11:27,IP Address,100,144,TRUE,11/1/2023 11:27,R_3KrbhdDi8oPdqWs,qr,EN,"Yes, I want to participate",19,Sophomore,White/Caucasian,Woman,,Mostly liberal,,Zip Code,2301,No,Tap water,Yes,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,3,7,1,6,2,4,5,transperency,Yes,7-12 glasses per
11/1/2023 11:24,11/1/2023 11:27,IP Address,100,157,TRUE,11/1/2023 11:27,R_2q7ZQ9ZYLSSwR4b,qr,EN,"Yes, I want to participate",21,Freshman,White/Caucasian,Woman,,Mixed,,Prefer not to answer,,,Plastic bottled water,No,,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,3,5,2,4,6,7,1,a brita filter ,,2-6 glasses per day
11/1/2023 11:25,11/1/2023 11:29,IP Address,100,206,TRUE,11/1/2023 11:29,R_WDv0lO6nWnyC6OZ,qr,EN,"Yes, I want to participate",19,Sophomore,White/Caucasian,Woman,,Mostly liberal,,Zip Code,2125,,Tap water,Yes,Public Supply,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,4,7,1,3,5,2,6,,Yes,2-6 glasses per day
11/1/2023 11:30,11/1/2023 11:31,IP Address,100,34,TRUE,11/1/2023 11:31,R_3I0sCraCD7cs5HH,qr,EN,"No, I don't want to participate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2023 11:29,11/1/2023 11:31,IP Address,100,121,TRUE,11/1/2023 11:31,R_1dowyfCRv0U7mik,qr,EN,"Yes, I want to participate",18,Freshman,"White/Caucasian,Hispanic or Latino",Woman,,Prefer not to answer,,Prefer not to answer,,,Tap water,Yes,Public Supply,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,2,4,1,3,7,5,6,,Yes,2-6 glasses per day
11/1/2023 11:30,11/1/2023 11:32,IP Address,100,138,TRUE,11/1/2023 11:32,R_3fH9usljm5qlkkq,qr,EN,"Yes, I want to participate",18,Freshman,Black or African American,Woman,,Prefer not to answer,,Prefer not to answer,,No,Glass bottled/canned/boxed water,Yes,Well,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,,,,,,,,Knowing where it’s coming from and how it taste ,,7-12 glasses per
11/1/2023 11:31,11/1/2023 11:34,IP Address,100,216,TRUE,11/1/2023 11:34,R_2wyvtWGBxOtfzfN,qr,EN,"Yes, I want to participate",20,Sophomore,Asian,Woman,,Prefer not to answer,,Zip Code,2124,Yes,Tap water,Yes,Public Supply,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,3,6,7,1,5,2,4,,Yes,2-6 glasses per day
11/1/2023 11:34,11/1/2023 11:40,IP Address,100,359,TRUE,11/1/2023 11:40,R_1mJyBTUktEG12Y9,qr,EN,"Yes, I want to participate",33,Master,Black or African American,Woman,,Consistently liberal,,Zip Code,2124,No,Tap water,Yes,Public Supply,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,2,7,1,4,5,3,6,,No,Less than 2 glasses per day
11/1/2023 11:15,11/1/2023 15:08,IP Address,100,13995,TRUE,11/1/2023 15:08,R_12iq4nQHt55CUry,qr,EN,"Yes, I want to participate",18,Freshman,Asian,Woman,,Prefer not to answer,,Zip Code,2184,No,Plastic bottled water,Yes,Public Supply,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,,,,,,,,Probably with how the water quality was supplied to the town that I lived at. ,,2-6 glasses per day
11/1/2023 15:09,11/1/2023 15:14,IP Address,100,255,TRUE,11/1/2023 15:14,R_248G6dP9krRvsng,qr,EN,"Yes, I want to participate",32,PhD,White/Caucasian,Woman,,Mostly liberal,,Zip Code,2169,,Tap water,Yes,,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,7,5,6,3,1,2,4,,No,7-12 glasses per
11/1/2023 15:17,11/1/2023 15:20,IP Address,100,158,TRUE,11/1/2023 15:20,R_1MLO7tKrZTrnkEK,qr,EN,"Yes, I want to participate",18,Freshman,Black or African American,Woman,,Prefer not to answer,,Zip Code,2119,No,Plastic bottled water,Yes,Public Supply,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,5,2,3,6,1,4,7,to know if it’s spruce is clean ,,2-6 glasses per day
11/1/2023 15:16,11/1/2023 15:21,IP Address,100,323,TRUE,11/1/2023 15:21,R_32JZJuExBIucY77,qr,EN,"Yes, I want to participate",22,Senior,"Asian,White/Caucasian",Woman,,Mixed,,Zip Code,2072,No,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,,,,,,,,If I knew more about where it comes from/how it’s filtered without having to look for the information ,Yes,7-12 glasses per
11/1/2023 15:19,11/1/2023 15:22,IP Address,100,194,TRUE,11/1/2023 15:22,R_3F4FI0jP3N9T9fD,qr,EN,"Yes, I want to participate",28,Master,White/Caucasian,Woman,,Mostly liberal,,Zip Code,2066,Yes,Prefer not to answer,Yes,Public Supply,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,2,6,1,7,3,4,5,More frequent and reliable updates on water testing,,
11/1/2023 15:19,11/1/2023 15:26,IP Address,100,420,TRUE,11/1/2023 15:26,R_3ekSaUzuNdHEQEQ,qr,EN,"Yes, I want to participate",27,Master,White/Caucasian,Man,,Other,"Socialist, communist",Zip Code,2125,No,Tap water,Yes,Public Supply,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,1,3,7,6,4,2,5,Frequent water testing by the government and making these tests available to the public,Yes,7-12 glasses per
11/1/2023 15:10,11/1/2023 16:03,IP Address,100,3203,TRUE,11/1/2023 16:03,R_31iOT4Nf76jxanU,qr,EN,"Yes, I want to participate",29,Master,White/Caucasian,Woman,,Consistently liberal,,Zip Code,2132,,Tap water,Yes,Public Supply,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,,,,,Knowing the composition of the city's water pipes,No,2-6 glasses per day
